unique_id,date,day,month,year,home_province,home_town,gender,age,occupation,organization,incident_type,incident_province,incident_district,incident_town,incident_reason,suspected_attacker,investigation_result,notes_other_details,latitude,longitude
1,11/19/2001,19,11,2001,Foreigner,Unclear,Male,,Journalist,Reuters,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
2,11/19/2001,19,11,2001,Afghan,Unclear,Male,,Journalist,Reuters,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
3,11/19/2001,19,11,2001,Italy,Unclear,Female,,Journalist,Unclear,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
4,11/19/2001,19,11,2001,Spain,Unclear,Female,,Journalist,Unclear,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
5,11/27/2001,27,11,2001,Sweden,Unclear,Male,,Journalist,Freelance,Killed,Nangarhar,Unclear,Unclear,Unclear,Unknown,,,34.27,70.48
6,8/28/2002,28,8,2002,New Zealand,Unclear,Male,,Journalist,Freelance,Killed,Kabul,Unclear,Unclear,Unclear,Unknown,,,34.55,69.33
7,8/3/2004,3,8,2004,Kabul,Kabul,Male,,Journalist,Salam Watandar,Threatened,Kabul,Kabul,Kabul,Reporting,Unknown,,,34.55,69.33
8,5/4/2005,4,5,2005,Takhar,Taluqan,Male,,Journalist,Tkharestan FM,Threatened,Takhar,Taluqan City,Taluqan City,Reporting,Unknown,,,36.7,69.78
9,5/4/2005,4,5,2005,Jawzjan,Sheberghan,Male,,Journalist,Aina TV,Beaten,Jawzjan,Shberghan,Shberghan,Reporting,Unknown,,,36.83,65.85
10,4/18/2005,18,4,2005,Kabul,Kabul,Female,,TV Presenter,Tolo TV,Killed,Kabul,Kabul,Kabul,Woman on TV,Unknown,,,34.55,69.33
11,7/3/2005,3,7,2005,Kabul,Kabul,Male,,TV Presenter,Tolo TV,Beaten,Kabul,Kabul City,Kabul City,Seen on TV in new style,Government,,,34.55,69.33
12,7/3/2001,3,7,2001,Kabul,Kabul,Male,,Reporter,Aftab Weekly,Beaten,Kabul,Kabul City,Kabul City,Publishing an article,Unknown,,,34.55,69.33
13,7/3/2005,3,7,2005,Kabul,Kabul,Male,,Reporter,Pajhwok,Threatened,Kabul,Kabul,Kabul,Reporting,Government,,,34.55,69.33
14,7/5/2005,5,7,2005,Kabul,Kabul,Male,,Reporter,Pajhwok,Threatened,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
15,7/13/2005,13,7,2005,Kabul,Kabul,Male,,Journalist,Chye dagh Weekly,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
16,9/8/2005,8,9,2005,Kabul,Kabul,Male,,Journalist,Sadaye afghan news agency,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
17,9/8/2005,8,9,2005,Kabul,Kabul,Male,,Journalist,Sadaye afghan news agency,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
18,9/14/2005,14,9,2005,Kabul,Kabul,Male,,Journalist,Bamiyan Weekly,Kidnapped,Nuristan,Waigal District,Waigal District,Reporting,un known armed men,,,35.42,70.79
19,7/14/2005,14,7,2005,Kabul,Kabul,Male,,Journalist,Aina TV,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
20,7/14/2005,14,7,2005,Kabul,Kabul,Male,,Journalist,Aina TV,Beaten,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
21,10/1/2005,1,10,2005,Kabul,Kabul,Male,,Journalist,Women's Rights Magazine,Arrested,Kabul,Kabul City,Kabul City,Publishing an article about apostasy,Government,,,34.55,69.33
22,11/30/2005,30,11,2005,Khost,Khost City,Male,,Journalist,Soli Paygham Radio,Killed,Khost,Haidar Khil District,Haidar Khil District,Roadside bomb near army base,,,,33.38,69.83
23,11/30/2005,30,11,2005,Panjshir,Unclear,Male,,Journalist,Pajhwok,Threatened,Baghlan,Pol-e-Khomri City,Pol-e-Khomri City,Asking question from Baghlan police commander about a bomb blast,Baghlan police comonder,,,35.8,68.91
24,12/12/2005,12,12,2005,Kabul,Kabul City,Male,,Journalist,Aryana TV,Beaten,Kabul,Kabul City,Kabul City,Reporting from demonstration,Police,,,34.55,69.33
25,12/12/2005,12,12,2005,Kabul,Kabul City,Male,,Camera Man,Aryana TV,Beaten,Kabul,Kabul City,Kabul City,Reporting from demonstration,Police,,,34.55,69.33
26,1/1/2006,1,1,2006,Kabul,Kabul City,Male,,Journalist,Al Jazeera,Arrested,Kabul,Kabul City,Kabul City,Filming in the vicinity of Camp Eggers in Kabul,CFC Coalition forces,,,34.55,69.33
27,1/1/2006,1,1,2006,Kabul,Kabul City,Male,,Journalist,Al Jazeera,Arrested,Kabul,Kabul City,Kabul City,Filming in the vicinity of Camp Eggers in Kabul,CFC Coalition forces,,,34.55,69.33
28,1/9/2006,9,1,2006,Kandahar,Kandahar City,Male,,Journalist,Narenj Magazine,Arrested,Kandahar,Kandahar,Kandahar,Unclear,CFC Coalition forces,,,31.04,65.71
29,2/9/2006,9,2,2006,Hirat,Hirat City,Male,,Journalist,Tolo TV,Beaten,Hirat,Hirat City,Hirat City,Reporting from Shia and Sunni riot in Hirat,Police,,,34.2,62.13
30,2/9/2006,9,2,2006,Hirat,Hirat City,Male,,Journalist,Pajhwok,Beaten,Hirat,Hirat City,Hirat City,Reporting from Shia and Sunni riot in Hirat,Police,,,34.2,62.13
31,2/9/2006,9,2,2006,Hirat,Hirat City,Male,,Journalist,Radio Ashna,Threatened,Hirat,Hirat City,Hirat City,Reporting from Shia and Sunni riot in Hirat,Police,,,34.2,62.13
32,2/9/2006,9,2,2006,Hirat,Hirat City,Male,,Journalist,Azadi Radio,Beaten,Hirat,Hirat City,Hirat City,Reporting from Shia and Sunni riot in Hirat,Police,,,34.2,62.13
33,2/6/2011,,2,2006,Parwan,Jabulsaraj District,Male,,Journalist,Sadaye Sulh FM,Arrested,Kabul,Kabul City,Kabul City,To an attempted murder,Government,,,34.55,69.33
34,5/9/2006,9,5,2006,Kabul,Kabul City,Male,,Journalist,Tolo TV,Beaten,Kabul,Kabul City,Kabul City,Filming from Parliament,member of parliament,,,34.55,69.33
35,5/27/2006,27,5,2006,Kabul,Kabul City,Male,,Journalist,Aina TV,Beaten,Kabul,Kabul City,Kabul City,On the way from office to Parliament,president security officers,,,34.55,69.33
36,5/27/2006,27,5,2006,Kabul,Kabul City,Male,,Journalist,Aina TV,Beaten,Kabul,Kabul City,Kabul City,On the way from office to Parliament,president security officers,,,34.55,69.33
37,5/27/2006,27,5,2006,Kabul,Kabul City,Male,,Journalist,Aina TV,Beaten,Kabul,Kabul City,Kabul City,On the way from office to Parliament,president security officers,,,34.55,69.33
38,6/6/2011,,6,2006,Khost,Khost City,Male,,Journalist,Jawan Ghagh,Threatened,Khost,Khost City,Khost City,Reporting,Khost Governor,,,33.38,69.83
39,6/6/2011,,6,2006,Wardak,Said Abad District,Male,,Radio Manager,Radio Yawali Ghazh,Threatened,Wardak,Said Abad District,Said Abad District,Radio Broadcasting,Taliban,,,34.3,68.22
40,6/16/2006,16,6,2006,Nangarhar,Jalalabad,Male,,Journalist,Afghan Islamic News Agency,Threatened,Nangarhar,Jalalabad,Jalalabad,Publishing an article,Taliban,,,34.27,70.48
41,7/29/2006,29,7,2006,Kabul,Kabul City,Male,,Journalist,Tolo TV,Beaten,Kabul,Kabul City,Kabul City,Reporting,Unknown,,,34.55,69.33
42,7/22/2006,22,7,2006,Kandahar,Kandahar City,Male,,Camera Man,Aryana TV,Killed,Kandahar,Kandahar City,Kandahar City,In a suicide attack in Kandahar City,Taliban,,,31.04,65.71
43,7/13/2006,13,7,2006,Hilmand,Lashkargah City,Male,,Journalist,Azadi Radio,Threatened,Hilmand,Lashkargah City,Lashkargah City,Reporting,Government,,,31.12,64.02
44,8/13/2006,13,8,2006,Khost,Khost City,Male,,Journalist,Freelance,Beaten,Khost,Khost City,Khost City,Reporting,Unknown Individuals,,,33.38,69.83
45,7/6/2011,,7,2006,Paktia,Gardiz City,Male,,Journalist,Soli Paygham Radio,Beaten,Paktya,Gardiz,Gardiz,Reporting,Taliban,,,33.63,69.39
46,7/6/2011,,7,2006,Paktia,Gardiz City,Male,,Journalist,RTA,Beaten,Paktya,Gardiz,Gardiz,Reporting from a suicide attack,Taliban,,,33.63,69.39
47,2006,,,2006,Paktia,Gardiz City,Male,,Journalist,RTA,Threatened,Paktya,Gardiz,Gardiz,Reporting from a suicide attack,Unknown Individuals,,,33.63,69.39
48,9/6/2011,,9,2006,Paktia,Gardiz City,Male,,Journalist,Soli Paygham Radio,Beaten,Paktya,Gardiz,Gardiz,Reporting,Government,,,33.63,69.39
49,8/23/2006,23,8,2006,Kabul,Kabul City,Male,,Manager,Arman Mili Daily,Arrested,Kabul,Kabul City,Kabul City,Publishing an article,Government,,,34.55,69.33
50,10/12/2006,12,10,2006,Italy,Italian,Male,,Journalist,Freelance,Kidnapped,Kandahar,,,Reporting,Unknown Individuals,,,31.04,65.71
51,10/28/2006,28,10,2006,Germany,Unclear,Male,,Journalist,DW,Killed,Baghlan,,,Reporting,Unknown Individuals,,,35.8,68.91
52,10/28/2006,28,10,2006,Germany,Unclear,Male,,Journalist,Dochiwele,Killed,Baghlan,,,Reporting,Unknown Individuals,,,35.8,68.91
53,10/4/2006,4,10,2006,Hirat,Hirat City,Male,,Journalist,Aryana TV,Threatened,Hirat,Hirat City,Hirat City,Reporting,General Attorney,,,34.2,62.13
54,10/4/2006,4,10,2006,Kabul,Kabul City,Male,,ATV Manager,Aryana TV,Threatened,Hirat,Hirat City,Hirat City,Reporting,General Attorney,,,34.2,62.13
55,10/17/2006,17,10,2006,Kabul,Kabul City,Male,,Journalist,RTA,Beaten,Kabul,Kabul City,Kabul City,Covering press conference of an AF minister,Police,,,34.55,69.33
56,1/22/2007,22,1,2007,Kabul,Kabul City,Male,,Journalist,Tolo TV,Arrested,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
57,1/22/2007,22,1,2007,Kabul,Kabul City,Male,,Journalist,Tolo TV,Arrested,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
58,1/5/2007,5,1,2007,Nangarhar,Jalalabad,Male,,Journalist,Radio Ashna,Threatened,Nangarhar,Jalalabad,Jalalabad,Reporting,Taliban,,,34.27,70.48
59,2007,,,2007,Hilmand,Lashkargah City,Male,,Journalist,Radio BBC,Threatened,Hilmand,Lashkargah City,Lashkargah City,Reporting,Taliban,name unclear,,31.12,64.02
60,2007,,,2007,Laghman,Mehtarlam,Male,,Journalist,Pajhwok,Threatened,Laghman,Mehtarlam City,Mehtarlam City,Reporting,Taliban,name unclear because of threats,,34.76,70.16
61,1/13/2007,13,1,2007,Laghman,Mehtarlam,Male,,Journalist,Pajhwok,Threatened,Laghman,Mehtarlam City,Mehtarlam City,Reporting,Governor,,,34.76,70.16
62,1/13/2007,13,1,2007,Laghman,Mehtarlam,Male,,Journalist,Aryana TV,Threatened,Laghman,Mehtarlam City,Mehtarlam City,Reporting,Government,,,34.76,70.16
63,1/13/2007,13,1,2007,Laghman,Mehtarlam,Male,,Journalist,AP,Threatened,Laghman,Mehtarlam City,Mehtarlam City,Reporting,Government,,,34.76,70.16
64,1/14/2007,14,1,2007,Kabul,Kabul City,Male,,Journalist,Freelance Journalist,Arrested,Nangarhar,,,Face to face interview with Taliban spokesperson,Government,,,34.27,70.48
65,2/17/2007,17,2,2007,Faryab,Andkhoy,Male,,Journalist,Qoll Nashray,Killed,Faryab,Andkhoy District,Andkhoy District,Unclear,Unknown Individuals,,,36.06,64.87
66,2/19/2007,19,2,2007,Hirat,Hirat City,Male,,Journalist,Aryana TV,Beaten,Hirat,Hirat City,Hirat City,Reporting from Shia and Sunni riot in Hirat,Police,,,34.2,62.13
67,2/19/2007,19,2,2007,Hirat,Hirat City,Male,,Journalist,Aryana TV,Beaten,Hirat,Hirat City,Hirat City,Reporting from demonstration,Police,,,34.2,62.13
68,2/25/2007,25,2,2007,Hilmand,Lashkargah City,Male,,Journalist,Al Jazeera,Kidnapped,Hilmand,Unclear,Unclear,Went for interview with Taliban,Taliban,,,31.12,64.02
69,2/13/2005,13,2,2005,Logar,Pol-e-Alam,Male,,Journalist,Radio Esteqlal,Beaten,Logar,Pol-e-Alam,Pol-e-Alam,Reporting,Government,,,34.01,69.17
70,3/6/2007,6,3,2007,Italy,Unclear,Male,,Journalist,La republica,Kidnapped,Hilmand,Nad Ali destrict,Nad Ali destrict,For interviewing,Taliban,,,31.12,64.02
71,2007,,,2007,Daykundi,Nily,Male,,Journalist,Radio Daykundi,Arrested,Daykundi,Nily City,Nily City,Reporting,Government,,,33.69,66.18
72,2007,,,2007,Baghlan,Nahrin District,Male,,Journalist,Radio Trajmeer,Beaten,Baghlan,Nahrin destrict,Nahrin destrict,Reporting from clashes of two commanders,Police,,,35.8,68.91
73,2/7/2011,,2,2007,Logar,Pol-e-Alam,Male,,Journalist,Pazhwak & Isteqlal FM,Arrested,Logar,Pol-e-Alam City,Pol-e-Alam City,Reporting from rocket attack on ISAF base,Government,,,34.01,69.17
74,3/12/2007,12,3,2007,Ghazni,Ghazni City,Male,,Journalist,Afghnistan Daily,Threatened,Ghazni,Ghazni City,Ghazni City,Reporting,Government,,,33.32,67.81
75,2/4/2007,4,2,2007,Nangarhar,Jalalabad,Male,,Journalist,AP,Threatened,Nangarhar,Near to Jalabad City,Near to Jalabad City,Reporting on suicide attack,CFC Coalition forces,,,34.27,70.48
76,2/4/2007,4,2,2007,Nangarhar,Jalalabad,Male,,Journalist,Aryana TV,Threatened,Nangarhar,Near to Jalabad City,Near to Jalabad City,Reporting on suicide attack,CFC Coalition forces,,,34.27,70.48
77,2/4/2007,4,2,2007,Nangarhar,Jalalabad,Male,,Journalist,Tolo TV,Threatened,Nangarhar,Near to Jalabad City,Near to Jalabad City,Reporting on suicide attack,CFC Coalition forces,name not clear,,34.27,70.48
78,4/8/2007,8,4,2007,Kabul,Kabul City,Male,,Journalist,Freelance,Killed,Hilmand,Nad Ali destrict,Nad Ali destrict,Travel to insecure area,Taliban,,,31.12,64.02
79,4/17/2007,17,4,2007,Kabul,Kabul City,Male,,Chief Editor,Tolo TV,Arrested,Kabul,Kabul City,Kabul City,Reporting,General Attorney,,,34.55,69.33
80,4/17/2007,17,4,2007,Kabul,Kabul City,Male,,Journalist,Tolo TV,Arrested,Kabul,Kabul City,Kabul City,Reporting,General Attorney,,,34.55,69.33
81,4/17/2007,17,4,2007,Kabul,Kabul City,Male,,Journalist,AP,Arrested,Kabul,Kabul City,Kabul City,REPOR,General Attorney,,,34.55,69.33
82,5/17/2007,17,5,2007,Kandahar,Kandahar City,Male,,Journalist,AP,Injured,Kandahar,Kandahar City,Kandahar City,Reporting bomb blast,Taliban,,,31.04,65.71
83,5/17/2007,17,5,2007,Kandahar,Kandahar City,Male,,Journalist,Al Jazeera,Injured,Kandahar,Kandahar City,Kandahar City,Reporting bomb blast,Taliban,,,31.04,65.71
84,5/17/2007,17,5,2007,Kandahar,Kandahar City,Male,,Journalist,Azadi Radio,Injured,Kandahar,Kandahar City,Kandahar City,Reporting bomb blast,Taliban,,,31.04,65.71
85,5/30/2007,30,5,2007,Kabul,Kabul City,Female,,TV Presenter,Shamshad TV,Killed,Kabul,Kabul City,Kabul City,Unclear,Unknown Individuals,,,34.55,69.33
86,5/24/2007,24,5,2007,Kabul,Kabul City,Female,,Journalist,Cheragh Daily,Threatened,Kabul,Kabul City,Kabul City,Reporting,Police,,,34.55,69.33
87,6/5/2007,5,6,2007,Parwan,Jabulsaraj District,Female,,President,Solh Radio,Killed,Parwan,Jabulsaraj District,Jabulsaraj District,Unclear,Unknown Individuals,,,34.96,68.89
88,6/28/2007,28,6,2007,Kabul,Kabul City,Male,,Chief Editor,Solh Jirga Magazin,Arrested,Kabul,Kabul City,Kabul City,Reporting,Government,,,34.55,69.33
89,6/24/2007,24,6,2007,Kunar,Kunar,Male,,Journalist,Kasma TV,Kidnapped,Kunar,Unclear,Unclear,For filming,Taliban,,,34.97,71.09
90,6/23/2007,23,6,2007,Samangan,Aibak,Male,,Journalist,Haqiat Radio,Threatened,Samangan,Aibak City,Aibak City,Reporting,Government,,,35.97,67.7
91,6/23/2007,23,6,2007,Hirat,Hirat City,Male,,Journalist,Nedaye Sloh Radio,Threatened,Hirat,Hirat City,Hirat City,Reporting,Government,,,34.2,62.13
92,7/4/2007,4,7,2007,Kabul,Kabul City,Male,,President,Kabul Peres,Arrested,Kabul,Kabul City,Kabul City,Reporting,National Directorate of Security,,,34.55,69.33
93,8/7/2007,7,8,2007,Ghazni,Ghazni City,Male,,Journalist,Aryana TV,Beaten,Ghazni,Ghazni City,Ghazni City,Reporting,Government,,,33.32,67.81
94,8/9/2007,9,8,2007,Kabul,Kabul City,Male,,President,Kabul Peres,Arrested,Kabul,Kabul City,Kabul City,Reporting,National Directorate of Security,,,34.55,69.33
95,2007,,,2007,Baghlan,Pol-e-Khomri,Male,,Journalist,Azadi Radio,Threatened,Baghlan,Pol-e-Khomri,Pol-e-Khomri,Reporting,Unknown Individuals,,,35.8,68.91
96,9/14/2007,14,9,2007,Khost,Khost City,Male,,Journalist,Aryana TV,Beaten,Khost,Yaqoobi District,Yaqoobi District,Reporting,Police,,,33.38,69.83
97,10/14/2007,14,10,2007,Kabul,Kabul City,Male,,Journalist,Payam-e-Mujahid,Beaten,Kabul,Kabul City,Kabul City,Reporting from demonstration,Government,,,34.55,69.33
98,1/7/2011,,1,2007,Kunduz,Kondoz City,Female,,President,Zohra Radio,Threatened,Kunduz,Kunduz City,Kunduz City,Radio programs for women,Unknown Individuals,,,36.84,68.75
99,2007,,,2007,Kunduz,Kondoz City,Female,,Journalist,Zohra Radio,Threatened,Kunduz,Kunduz City,Kunduz City,Radio programs for women,Unknown Individuals,,,36.84,68.75
100,2007,,,2007,Kabul,Kabul City,Female,,Chief Editor,Cheragh Daily,Threatened,Kabul,Kabul City,Kabul City,Publishing an article,Unknown Individuals,,,34.55,69.33
101,2007,,,2007,Kabul,Kabul City,Male,,Journalist,Aryana TV,Threatened,Kabul,Kabul City,Kabul City,Reporting,Unknown Individuals,,,34.55,69.33
102,2007,,,2007,Logar,Baraki Barak District,Male,,President,Radio Esteqlal,Threatened,Logar,Baraki Barak District,Baraki Barak District,Reporting,Unknown Individuals,,,34.01,69.17
103,2007,,,2007,Logar,Baraki Barak District,Male,,Journalist,Radio Esteqlal,Threatened,Logar,Baraki Barak District,Baraki Barak District,Reporting,Unknown Individuals,,,34.01,69.17
104,2007,,,2007,Kabul,Kabul City,Male,,Journalist,Freelance,Threatened,Kabul,Kabul City,Kabul City,After released from jail received calls from Taliban,Taliban,,,34.55,69.33
105,11/8/2007,8,11,2007,Hilmand,Lashkargah City,Male,,Journalist,Aryana TV,Arrested,Hilmand,Moosa qala,Moosa qala,After returning from Moosa qala District the Taliban kidnapped them,Government,,,31.12,64.02
106,11/8/2007,8,11,2007,Hilmand,Lashkargah City,Male,,Journalist,IWPR,Arrested,Hilmand,Moosa qala,Moosa qala,After returning from Moosa qala District the Taliban kidnapped them,Government,,,31.12,64.02
107,11/8/2007,8,11,2007,Hilmand,Lashkargah City,Male,,Journalist,BBC,Arrested,Hilmand,Moosa qala,Moosa qala,After returning from Moosa qala District the Taliban kidnapped them,Government,,,31.12,64.02
108,11/8/2007,8,11,2007,Hilmand,Lashkargah City,Male,,Journalist,Al Jazeera,Arrested,Hilmand,Moosa qala,Moosa qala,After returning from Moosa qala District the Taliban kidnapped them,Government,,,31.12,64.02
109,11/27/2007,27,11,2007,Kabul,Kabul City,Male,,Reporter,Cheragh Daily,Arrested,Kabul,Kabul City,Kabul City,Unclear,National Directorate of Security,,,34.55,69.33
110,11/27/2007,27,11,2007,Kabul,Kabul City,Male,,Reporter,Cheragh Daily,Arrested,Kabul,Kabul City,Kabul City,Unclear,National Directorate of Security,,,34.55,69.33
111,11/27/2007,27,11,2007,Kabul,Kabul City,Male,,Reporter,Cheragh Daily,Arrested,Kabul,Kabul City,Kabul City,Unclear,National Directorate of Security,,,34.55,69.33
112,11/28/2007,28,11,2007,Laghman,Mehtarlam,Male,,Reporter,Laghman government Radio,Arrested,Laghman,Mehtarlam City,Mehtarlam City,Reporting,Laghman NDS,,,34.76,70.16
113,10/7/2011,,10,2007,Kapisa,Nejrab District,Male,,Owner,Sadai-e- Nejrab Radio,Threatened,Kapisa,Nejrab District,Nejrab District,Reporting,Unknown Individuals,,,34.96,69.62
114,12/24/2007,24,12,2007,Kabul,Kabul City,Male,,Reporter,Cheragh Daily,Beaten,Kabul,Kabul City,Kabul City,Reporting,Afghanistan Olympic,,,34.55,69.33
115,12/4/2007,4,12,2007,Kabul,Kabul City,Male,,Reporter,Salam Watandar,Beaten,Kabul,Kabul City,Kabul City,Reporting,tenth police District of Kabul City comonder,,,34.55,69.33
116,12/29/2007,29,12,2007,Kabul,Kabul City,Female,,Reporter,Cheragh Daily,Threatened,Kabul,Kabul City,Kabul City,Reporting,first police District of Kabul City comonder,,,34.55,69.33
117,12/1/2007,1,12,2007,Daykundi,Nily,Male,,Owner,Radio Daykundi,Arrested,Daykundi,Nily City,Nily City,Reporting,Daykundi Governor,,Danish reporter,33.69,66.18
118,1/4/2008,4,1,2008,Norway,Unclear,Male,,Reporter,Dagiladet Daily,Killed,Kabul,Kabul City,Kabul City,Reporting,suicide attack in Kabul serina hotle,,,34.55,69.33
119,1/22/2008,22,1,2008,Balkh,Mazar-e-sharif,Male,,Reporter,Jahan-e- Naw publication,Arrested,Balkh,Mazar-e-Sharif,Mazar-e-Sharif,Blasphemy,Afghanistan Government,,,36.67,67.08
120,1/8/2011,,1,2008,Kunduz,Kondoz City,Male,,Owner,Sadai-e-watan publication,Beaten,Kunduz,Kunduz City,Kunduz City,Reporting,kondoz police,,,36.84,68.75
121,3/27/2008,27,3,2008,Kabul,Kabul City,Male,,Freelance Journalist,Unclear,Threatened,Kabul,Kabul City,Kabul City,Unclear,Unknown Individuals,,,34.55,69.33
122,4/28/2008,28,4,2008,Australia,Unclear,Male,,Reporter,American Magazine,Injured,Nangarhar,Khogiani District,Khogiani District,Reporting form poppy cultivation,suicide attack in Khogiani District,,,34.27,70.48
123,4/28/2008,28,4,2008,Australia,Unclear,Male,,Reporter,American Magazine,Injured,Nangarhar,Khogiani District,Khogiani District,Reporting form poppy cultivation,suicide attack in Khogiani District,,,34.27,70.48
124,4/10/2008,10,4,2008,Hirat,Hirat City,Female,,Deputy Director,Faryad FM,Threatened,Hirat,Hirat City,Hirat City,Unclear,Unknown Individuals,,name and country unclear ,34.2,62.13
125,4/9/2008,9,4,2008,Ghor,Cheghcheran City,Male,,Owner,Saam Magazine,Arrested,Ghor,Cheghcheran,Cheghcheran,Reporting,Government,,name and country unclear,34.18,64.93
126,4/11/2008,11,4,2008,Hirat,Hirat City,Male,,Director,RTA Hirat,Beaten,Hirat,Hirat City,Hirat City,Interview,Hirat Governor Said Hosain Anwari,,,34.2,62.13
127,5/15/2008,15,5,2008,Hirat,Hirat City,Female,,Reporter,RTA Hirat,Beaten,Hirat,Hirat City,Hirat City,Unclear,Unknown Individuals,,,34.2,62.13
128,5/7/2008,7,5,2008,Kabul,Kabul City,Male,,Presenter,RTA,Threatened,Kabul,Kabul City,Kabul City,Unclear,Information and colture minister (Karim Khoram),,,34.55,69.33
129,5/6/2008,6,5,2008,Kabul,Kabul City,Male,,Writer,Payam-e-mujahid Weekly,Threatened,Kabul,Kabul City,Kabul City,Unclear,Unknown Individuals,,,34.55,69.33
130,6/7/2008,7,6,2008,Hilmand,Lashkargah City,Male,,Reporter,BBC& Pajhwok news agency,Killed,Hilmand,near to Lashkargah City,near to Lashkargah City,Reporting,Unknown Individuals,,,31.12,64.02
131,6/11/2008,11,6,2008,Baghlan,Pol-e-Khomri,Male,,Writer,Freelance,Arrested,Kabul,Kabul City,Kabul City,Writing an article in newspaper,National Directorate of Security,,,34.55,69.33
132,6/22/2008,22,6,2008,Logar,Pol-e-Alam,Male,,Reporter,Bakhtar news agency,Arrested,Logar,Pol-e-Alam City,Pol-e-Alam City,Reporting,Logar NDS,,,34.01,69.17
133,6/23/2008,23,6,2008,Daykundi,Nili City,Male,,Chief Editor,Nili Radio,Arrested,Daykundi,Nily City,Nily City,Reporting,Daykundi Governor,,,33.69,66.18
134,6/30/2008,30,6,2008,Kabul,Kabul City,Male,,Chief Editor,Pamir Weekly,Threatened,Kabul,Kabul City,Kabul City,Reporting,Kabul Municipality,,,34.55,69.33
135,6/15/2008,15,6,2008,Hilmand,Lashkargah City,Male,,Reporter,Salam Watandar,Threatened,Hilmand,Lashkargah City,Lashkargah City,Reporting,Unknown Individuals,,,31.12,64.02
